asset,selected_by_models,total_final_weight,avg_final_weight,avg_asset_train_return,avg_asset_test_return,avg_weighted_test_contribution,models
SBER,6,1.8966478364591817,0.31610797274319696,0.345679911092621,0.011587956021988699,0.003663045286348169,"deepseek/deepseek-v4-pro, google/gemini-3.1-pro-preview, mistralai/mistral-small-2603, openai/gpt-oss-120b, openai/gpt-oss-20b, qwen/qwen3.5-35b-a3b"
MOEX,4,0.6192565814669109,0.15481414536672772,-0.02325171836844986,-0.018223364752928073,-0.002821234639930709,"deepseek/deepseek-v4-pro, mistralai/mistral-small-2603, openai/gpt-oss-120b, qwen/qwen3.5-35b-a3b"
USD000UTSTOM,3,0.3044611119818808,0.1014870373272936,-0.08130653810736155,-0.08188713592233021,-0.008310482819974692,"mistralai/mistral-small-2603, openai/gpt-oss-120b, qwen/qwen3.5-35b-a3b"
PLZL,2,0.54,0.27,1.2549116074989866,-0.014285714285713791,-0.003857142857142723,"google/gemini-3.1-pro-preview, mistralai/mistral-small-2603"
IRAO,2,0.4823734791908889,0.24118673959544445,-0.05506961908676711,0.008203064541092653,0.001978470391357138,"mistralai/mistral-small-2603, qwen/qwen3.5-35b-a3b"
FXIT,1,0.3,0.3,,,,openai/gpt-oss-20b
FXUS,1,0.25,0.25,,,,openai/gpt-oss-20b
LQDT,1,0.2,0.2,0.4219788243884697,0.011129917423193136,0.0022259834846386274,google/gemini-3.1-pro-preview
AKMB,1,0.18,0.18,0.4032164589973959,0.013194516029275238,0.0023750128852695427,google/gemini-3.1-pro-preview
CHFRUB_TOM,1,0.16666666666666666,0.16666666666666666,,,,openai/gpt-oss-120b
EUR_RUB__TOM,1,0.16666666666666666,0.16666666666666666,-0.042794934681415375,,,openai/gpt-oss-120b
SPBE,1,0.16666666666666666,0.16666666666666666,1.6481687014428332,-0.09450101832993907,-0.01575016972165651,openai/gpt-oss-120b
AFLT,1,0.15,0.15,0.30590051778509264,-0.0035942492012777105,-0.0005391373801916566,mistralai/mistral-small-2603
LKOH,1,0.15,0.15,-0.035872758452375586,-0.08593077320475273,-0.012889615980712909,deepseek/deepseek-v4-pro
NVTK,1,0.12,0.12,0.16379295697923668,-0.16994301994301997,-0.020393162393162394,deepseek/deepseek-v4-pro
PHOR,1,0.1,0.1,0.38838507881586604,-0.10601533064830448,-0.01060153306483045,mistralai/mistral-small-2603
TBRU,1,0.1,0.1,0.3889845094664408,0.016089108910890992,0.0016089108910890993,google/gemini-3.1-pro-preview
MGNT,1,0.06726099090113793,0.06726099090113793,-0.49869462021835,-0.1191144371686933,-0.008011755074597646,qwen/qwen3.5-35b-a3b
TATN,1,0.04,0.04,0.18316606943821467,-0.13451273448223255,-0.0053805093792893026,deepseek/deepseek-v4-pro
