model,asset,selected_count
deepseek/deepseek-v4-pro,LKOH,1
deepseek/deepseek-v4-pro,MOEX,1
deepseek/deepseek-v4-pro,NVTK,1
deepseek/deepseek-v4-pro,SBER,1
deepseek/deepseek-v4-pro,TATN,1
google/gemini-3.1-pro-preview,AKMB,1
google/gemini-3.1-pro-preview,LQDT,1
google/gemini-3.1-pro-preview,PLZL,1
google/gemini-3.1-pro-preview,SBER,1
google/gemini-3.1-pro-preview,TBRU,1
mistralai/mistral-small-2603,AFLT,1
mistralai/mistral-small-2603,IRAO,1
mistralai/mistral-small-2603,MOEX,1
mistralai/mistral-small-2603,PHOR,1
mistralai/mistral-small-2603,PLZL,1
mistralai/mistral-small-2603,SBER,1
mistralai/mistral-small-2603,USD000UTSTOM,1
openai/gpt-oss-120b,CHFRUB_TOM,1
openai/gpt-oss-120b,EUR_RUB__TOM,1
openai/gpt-oss-120b,MOEX,1
openai/gpt-oss-120b,SBER,1
openai/gpt-oss-120b,SPBE,1
openai/gpt-oss-120b,USD000UTSTOM,1
openai/gpt-oss-20b,FXIT,1
openai/gpt-oss-20b,FXUS,1
openai/gpt-oss-20b,SBER,1
qwen/qwen3.5-35b-a3b,IRAO,1
qwen/qwen3.5-35b-a3b,MGNT,1
qwen/qwen3.5-35b-a3b,MOEX,1
qwen/qwen3.5-35b-a3b,SBER,1
qwen/qwen3.5-35b-a3b,USD000UTSTOM,1
