model,step,iteration,best_score,parsed_candidates,accepted_candidates,mean_score,max_score,portfolios_count,epoch
deepseek/deepseek-v4-pro,99,-1,,,,-0.3131809363532813,-0.0084953113145306,10.0,-1
deepseek/deepseek-v4-pro,99,0,0.0251004131923856,3.0,3.0,-0.0160259776412033,0.0251004131923856,3.0,0
deepseek/deepseek-v4-pro,99,1,0.0251004131923856,3.0,3.0,-0.0334828226859479,0.0056503124597859,3.0,1
deepseek/deepseek-v4-pro,99,2,0.0251004131923856,3.0,3.0,0.0161425805339176,0.0189992473886217,3.0,2
deepseek/deepseek-v4-pro,99,3,0.0251004131923856,3.0,3.0,0.0190772164399123,0.0220094257227611,3.0,3
deepseek/deepseek-v4-pro,99,4,0.0279084149514966,3.0,3.0,0.0231500314281066,0.0279084149514966,3.0,4
deepseek/deepseek-v4-pro,99,5,0.0279084149514966,3.0,3.0,0.0090533375811485,0.0199655826633021,3.0,5
deepseek/deepseek-v4-pro,99,6,0.0279084149514966,3.0,3.0,0.0160053596267363,0.0239178138539315,3.0,6
deepseek/deepseek-v4-pro,99,7,0.047627083020715,3.0,3.0,0.0261230700064886,0.047627083020715,3.0,7
deepseek/deepseek-v4-pro,99,8,0.047627083020715,3.0,3.0,0.0332647104636827,0.0428068928913286,3.0,8
deepseek/deepseek-v4-pro,99,9,0.047627083020715,3.0,2.0,0.034528559566517,0.0359660199487719,2.0,9
deepseek/deepseek-v4-pro,99,10,0.0548118460415272,3.0,2.0,0.0447115011000281,0.0548118460415272,2.0,10
deepseek/deepseek-v4-pro,99,11,0.0548118460415272,3.0,3.0,0.037537405554726,0.0462467298388555,3.0,11
deepseek/deepseek-v4-pro,99,12,0.0601010779082717,3.0,3.0,0.0457276223875243,0.0601010779082717,3.0,12
deepseek/deepseek-v4-pro,99,13,0.0601010779082717,3.0,3.0,0.0356366559510305,0.0486695103576679,3.0,13
deepseek/deepseek-v4-pro,99,14,0.0601010779082717,3.0,2.0,0.0475918243658871,0.0542261507596632,2.0,14
deepseek/deepseek-v4-pro,99,15,0.0638644574919203,3.0,3.0,0.0477010767453877,0.0638644574919203,3.0,15
deepseek/deepseek-v4-pro,99,16,0.0638644574919203,3.0,2.0,0.0327448521068422,0.0377176610245841,2.0,16
deepseek/deepseek-v4-pro,99,17,0.0683245501892826,3.0,3.0,0.0529876183210977,0.0683245501892826,3.0,17
deepseek/deepseek-v4-pro,99,18,0.0747252661306074,3.0,3.0,0.0590872923836034,0.0747252661306074,3.0,18
deepseek/deepseek-v4-pro,99,19,0.0747252661306074,3.0,3.0,0.0502501899476716,0.0618527189840839,3.0,19
deepseek/deepseek-v4-pro,99,20,0.0747252661306074,3.0,3.0,0.0140136685983363,0.0581778810522717,3.0,20
deepseek/deepseek-v4-pro,99,21,0.0747252661306074,3.0,3.0,0.0204338054837355,0.0704362886971189,3.0,21
deepseek/deepseek-v4-pro,99,22,0.0747252661306074,3.0,3.0,0.0585068660254895,0.0637388978397797,3.0,22
deepseek/deepseek-v4-pro,99,23,0.0747252661306074,3.0,2.0,0.0666776542773522,0.0696360342638628,2.0,23
deepseek/deepseek-v4-pro,99,24,0.0747252661306074,3.0,3.0,0.0602094067503442,0.0715283233237525,3.0,24
deepseek/deepseek-v4-pro,99,25,0.0747252661306074,3.0,3.0,0.0649717855651729,0.0688669928162969,3.0,25
deepseek/deepseek-v4-pro,99,26,0.0747252661306074,3.0,3.0,0.0411848100482434,0.0641879684637744,3.0,26
deepseek/deepseek-v4-pro,99,27,0.0747252661306074,3.0,3.0,0.0622725496760326,0.0645746650061424,3.0,27
deepseek/deepseek-v4-pro,99,28,0.0747252661306074,3.0,3.0,0.0634412821986019,0.0675216910852542,3.0,28
deepseek/deepseek-v4-pro,99,29,0.0747252661306074,3.0,3.0,0.0632664547928288,0.0736732611818773,3.0,29
deepseek/deepseek-v4-pro,99,30,0.0770497655152724,3.0,3.0,0.0685989221087346,0.0770497655152724,3.0,30
deepseek/deepseek-v4-pro,99,31,0.0771904650973077,3.0,3.0,0.0561398531769633,0.0771904650973077,3.0,31
deepseek/deepseek-v4-pro,99,32,0.0845170333217284,3.0,3.0,0.0683414096890483,0.0845170333217284,3.0,32
deepseek/deepseek-v4-pro,99,33,0.0845170333217284,3.0,3.0,0.06979768837539,0.0749820769661373,3.0,33
deepseek/deepseek-v4-pro,99,34,0.087431698800072,3.0,3.0,0.0644130816378578,0.087431698800072,3.0,34
deepseek/deepseek-v4-pro,99,35,0.087431698800072,3.0,3.0,0.0385667930241244,0.0811828430098789,3.0,35
deepseek/deepseek-v4-pro,99,36,0.087431698800072,3.0,3.0,0.072866175351966,0.0851899136638785,3.0,36
deepseek/deepseek-v4-pro,99,37,0.087431698800072,3.0,2.0,0.0688449740783296,0.0826151268312465,2.0,37
deepseek/deepseek-v4-pro,99,38,0.087431698800072,3.0,3.0,0.0276719142330519,0.0617506321060982,3.0,38
deepseek/deepseek-v4-pro,99,39,0.0875546241126607,3.0,2.0,0.0621270058165007,0.0875546241126607,2.0,39
deepseek/deepseek-v4-pro,99,40,0.0875546241126607,3.0,3.0,0.0695354711292614,0.0843290139007667,3.0,40
deepseek/deepseek-v4-pro,99,41,0.0875546241126607,3.0,3.0,0.0505593979802547,0.0731713128172432,3.0,41
deepseek/deepseek-v4-pro,99,42,0.0878003408934557,3.0,2.0,0.052179794528823,0.0878003408934557,2.0,42
deepseek/deepseek-v4-pro,99,43,0.0878003408934557,3.0,3.0,0.0778923502257614,0.0830837578654195,3.0,43
deepseek/deepseek-v4-pro,99,44,0.0885096155651389,3.0,2.0,0.0712724228545676,0.0885096155651389,2.0,44
deepseek/deepseek-v4-pro,99,45,0.0885096155651389,3.0,2.0,0.0736972911927607,0.0773061098661815,2.0,45
deepseek/deepseek-v4-pro,99,46,0.0885096155651389,3.0,3.0,0.073522242333032,0.079832339107445,3.0,46
deepseek/deepseek-v4-pro,99,47,0.0885096155651389,3.0,3.0,0.0245408913387483,0.0663560746086228,3.0,47
deepseek/deepseek-v4-pro,99,48,0.0885096155651389,3.0,3.0,0.0643290277804468,0.0808572585480019,3.0,48
deepseek/deepseek-v4-pro,99,49,0.096705056490796,3.0,2.0,0.0919669396130326,0.096705056490796,2.0,49
google/gemini-3.1-pro-preview,99,-1,,,,-0.3131809363532813,-0.0084953113145306,10.0,-1
google/gemini-3.1-pro-preview,99,0,0.0956974543399952,3.0,3.0,0.020872191071181,0.0956974543399952,3.0,0
google/gemini-3.1-pro-preview,99,1,0.1057351037623443,3.0,3.0,0.0673953012125255,0.1057351037623443,3.0,1
google/gemini-3.1-pro-preview,99,2,0.1188479765224641,3.0,3.0,0.0880601871636221,0.1188479765224641,3.0,2
google/gemini-3.1-pro-preview,99,3,0.1188479765224641,3.0,3.0,0.0880051209804155,0.102477879271087,3.0,3
google/gemini-3.1-pro-preview,99,4,0.1284623246229472,3.0,3.0,0.1214277911239056,0.1284623246229472,3.0,4
google/gemini-3.1-pro-preview,99,5,0.128617685310105,3.0,3.0,0.107946499131446,0.128617685310105,3.0,5
google/gemini-3.1-pro-preview,99,6,0.1471136621621737,3.0,3.0,0.1380492047141069,0.1471136621621737,3.0,6
google/gemini-3.1-pro-preview,99,7,0.1478951543282806,3.0,2.0,0.1474767279016482,0.1478951543282806,2.0,7
google/gemini-3.1-pro-preview,99,8,0.1641605947267523,3.0,3.0,0.1611016040938589,0.1641605947267523,3.0,8
google/gemini-3.1-pro-preview,99,9,0.1644270899598517,3.0,3.0,0.1640420809686071,0.1644270899598517,3.0,9
google/gemini-3.1-pro-preview,99,10,0.1644270899598517,3.0,3.0,0.1614959958333054,0.1644260334245477,3.0,10
google/gemini-3.1-pro-preview,99,11,0.1644270899598517,3.0,3.0,0.1609561945089394,0.1643523063721464,3.0,11
google/gemini-3.1-pro-preview,99,12,0.1644270899598517,3.0,3.0,0.1632240879983547,0.1643900022202926,3.0,12
google/gemini-3.1-pro-preview,99,13,0.1644270899598517,3.0,3.0,0.1529325150704329,0.1644254739526406,3.0,13
google/gemini-3.1-pro-preview,99,14,0.1644336338296312,3.0,3.0,0.1581269067297491,0.1644336338296312,3.0,14
google/gemini-3.1-pro-preview,99,15,0.1644336338296312,3.0,3.0,0.1455938898746175,0.152496554429261,3.0,15
google/gemini-3.1-pro-preview,99,16,0.188443439099776,3.0,3.0,0.1689205710571566,0.188443439099776,3.0,16
google/gemini-3.1-pro-preview,99,17,0.188443439099776,3.0,3.0,0.1680664707330489,0.1807710847427504,3.0,17
google/gemini-3.1-pro-preview,99,18,0.188443439099776,3.0,3.0,0.1703176024043622,0.1782123671936989,3.0,18
google/gemini-3.1-pro-preview,99,19,0.2235310930806251,3.0,3.0,0.2026896129304395,0.2235310930806251,3.0,19
google/gemini-3.1-pro-preview,99,20,0.2458692981408065,3.0,3.0,0.2259195643998531,0.2458692981408065,3.0,20
google/gemini-3.1-pro-preview,99,21,0.2458692981408065,3.0,3.0,0.2177356928898126,0.2251860000368949,3.0,21
google/gemini-3.1-pro-preview,99,22,0.2458692981408065,3.0,3.0,0.2038112981972221,0.2153136456798693,3.0,22
google/gemini-3.1-pro-preview,99,23,0.2458692981408065,3.0,3.0,0.2199957192910049,0.2282362679880434,3.0,23
google/gemini-3.1-pro-preview,99,24,0.2458692981408065,3.0,3.0,0.2282761813768901,0.2326500595151781,3.0,24
