iteration,attempt,source,requested_candidates,raw_candidates,parsed_candidates,accepted_candidates,accepted_total_iteration,llm_error_stage,llm_error_type,llm_error_message,llm_json_found,llm_raw_preview,best_score_before,best_score_after,improved,step,model,train_start,train_end,test_start,test_end
0,1,llm,3,3,3,3,3,parse_response,,,True,"{""candidates"":[{""weights"":{""SBER"":0.25,""LKOH"":0.2,""NVTK"":0.2,""MGNT"":0.1,""MOEX"":0.15,""PHOR"":0.1}},{""weights"":{""IRAO"":0.3,""SBER"":0.2,""MOEX"":0.15,""USD000UTSTOM"":0.1,""MGNT"":0.1,""BSPB"":0.05,""BELU"":0.05,""MAGN"":0.05}},{""weights"":{""SBER"":0.1,""MOEX"":0.1,""IRAO"":0.1,""USD000UTSTOM"":0.15,""EUR_RUB__TOM"":0.1,""FXIT"":0.15,""SBGB"":0.1,""FLOT"":0.1,""LQDT"":0.1}}]}",-0.00849531131453062,0.02510041319238568,True,99,deepseek/deepseek-v4-pro,2024-03-27 00:00:00,2026-03-19 00:00:00,2026-03-20 00:00:00,2026-04-17 00:00:00
1,1,llm,3,3,3,3,3,parse_response,,,True,"{""candidates"":[{""weights"":{""SBER"":0.25,""MOEX"":0.20,""IRAO"":0.15,""LKOH"":0.15,""NVTK"":0.10,""MGNT"":0.10,""PHOR"":0.05}},{""weights"":{""SBER"":0.15,""MOEX"":0.10,""IRAO"":0.10,""USD000UTSTOM"":0.15,""FXIT"":0.15,""FLOT"":0.15,""LKOH"":0.10,""MGNT"":0.10}},{""weights"":{""SBER"":0.08,""MOEX"":0.08,""MGNT"":0.07,""USD000UTSTOM"":0.15,""FXIT"":0.15,""FLOT"":0.15,""SBGB"":0.10,""LQDT"":0.10,""BELU"":0.05,""BSPB"":0.07}}]}",0.02510041319238568,0.02510041319238568,False,99,deepseek/deepseek-v4-pro,2024-03-27 00:00:00,2026-03-19 00:00:00,2026-03-20 00:00:00,2026-04-17 00:00:00
2,1,llm,3,3,3,3,3,parse_response,,,True,"{""candidates"":[{""weights"":{""SBER"":0.30,""LKOH"":0.20,""NVTK"":0.15,""MOEX"":0.15,""MGNT"":0.10,""PHOR"":0.05,""IRAO"":0.05}},{""weights"":{""SBER"":0.12,""MOEX"":0.12,""IRAO"":0.10,""USD000UTSTOM"":0.15,""FXIT"":0.15,""FLOT"":0.16,""LQDT"":0.10,""SBGB"":0.10}},{""weights"":{""FLOT"":0.20,""FXIT"":0.20,""LQDT"":0.10,""SBGB"":0.10,""SBER"":0.10,""MOEX"":0.10,""USD000UTSTOM"":0.10,""SU26238RMFS4"":0.10}}]}",0.02510041319238568,0.02510041319238568,False,99,deepseek/deepseek-v4-pro,2024-03-27 00:00:00,2026-03-19 00:00:00,2026-03-20 00:00:00,2026-04-17 00:00:00
3,1,llm,3,3,3,3,3,parse_response,,,True,"{""candidates"":[{""weights"":{""SBER"":0.35,""LKOH"":0.25,""NVTK"":0.2,""MOEX"":0.1,""MGNT"":0.1}},{""weights"":{""SBER"":0.12,""MOEX"":0.1,""IRAO"":0.1,""USD000UTSTOM"":0.15,""FXIT"":0.15,""FLOT"":0.15,""LQDT"":0.1,""SBGB"":0.1,""EUR_RUB__TOM"":0.03}},{""weights"":{""FLOT"":0.18,""FXIT"":0.18,""LQDT"":0.12,""SBGB"":0.12,""USD000UTSTOM"":0.12,""SBER"":0.08,""MOEX"":0.08,""SU26238RMFS4"":0.12}}]}",0.02510041319238568,0.02510041319238568,False,99,deepseek/deepseek-v4-pro,2024-03-27 00:00:00,2026-03-19 00:00:00,2026-03-20 00:00:00,2026-04-17 00:00:00
4,1,llm,3,3,3,3,3,parse_response,,,True,"{""candidates"":[{""weights"":{""SBER"":0.30,""LKOH"":0.20,""NVTK"":0.15,""MOEX"":0.10,""MGNT"":0.10,""PHOR"":0.10,""IRAO"":0.05}},{""weights"":{""SBER"":0.15,""MOEX"":0.10,""IRAO"":0.10,""USD000UTSTOM"":0.15,""FXIT"":0.15,""FLOT"":0.15,""LQDT"":0.10,""SBGB"":0.10}},{""weights"":{""FLOT"":0.20,""FXIT"":0.15,""LQDT"":0.15,""SBGB"":0.15,""USD000UTSTOM"":0.15,""SU26238RMFS4"":0.10,""SBER"":0.05,""MOEX"":0.05}}]}",0.02510041319238568,0.02790841495149661,True,99,deepseek/deepseek-v4-pro,2024-03-27 00:00:00,2026-03-19 00:00:00,2026-03-20 00:00:00,2026-04-17 00:00:00
5,1,llm,3,3,3,3,3,parse_response,,,True,"{""candidates"":[{""weights"":{""SBER"":0.30,""GAZP"":0.20,""LKOH"":0.15,""NVTK"":0.15,""MOEX"":0.10,""MGNT"":0.10}},{""weights"":{""SBER"":0.15,""MOEX"":0.10,""IRAO"":0.10,""LKOH"":0.10,""NVTK"":0.10,""USD000UTSTOM"":0.15,""FXIT"":0.10,""FLOT"":0.10,""LQDT"":0.05,""SBGB"":0.05}},{""weights"":{""FLOT"":0.20,""FXIT"":0.15,""LQDT"":0.15,""SBGB"":0.15,""USD000UTSTOM"":0.10,""EUR_RUB__TOM"":0.10,""SU26238RMFS4"":0.10,""SBER"":0.05}}]}",0.02790841495149661,0.02790841495149661,False,99,deepseek/deepseek-v4-pro,2024-03-27 00:00:00,2026-03-19 00:00:00,2026-03-20 00:00:00,2026-04-17 00:00:00
6,1,llm,3,3,3,3,3,parse_response,,,True,"{""candidates"":[{""weights"":{""SBER"":0.30,""LKOH"":0.20,""NVTK"":0.20,""MOEX"":0.15,""MGNT"":0.10,""PHOR"":0.05}},{""weights"":{""SBER"":0.15,""MOEX"":0.10,""IRAO"":0.10,""LKOH"":0.10,""USD000UTSTOM"":0.15,""FXIT"":0.15,""FLOT"":0.15,""SBGB"":0.10}},{""weights"":{""FLOT"":0.20,""FXIT"":0.20,""LQDT"":0.15,""SBGB"":0.15,""USD000UTSTOM"":0.10,""SU26238RMFS4"":0.10,""SBER"":0.05,""MOEX"":0.05}}]}",0.02790841495149661,0.02790841495149661,False,99,deepseek/deepseek-v4-pro,2024-03-27 00:00:00,2026-03-19 00:00:00,2026-03-20 00:00:00,2026-04-17 00:00:00
7,1,llm,3,3,3,3,3,parse_response,,,True,"{""candidates"":[{""weights"":{""SBER"":0.35,""LKOH"":0.25,""NVTK"":0.20,""MOEX"":0.10,""MGNT"":0.05,""PHOR"":0.05}},{""weights"":{""SBER"":0.12,""LKOH"":0.10,""NVTK"":0.08,""MOEX"":0.10,""MGNT"":0.05,""IRAO"":0.05,""FLOT"":0.15,""FXIT"":0.15,""LQDT"":0.10,""SBGB"":0.10}},{""weights"":{""FLOT"":0.15,""FXIT"":0.15,""LQDT"":0.15,""SBGB"":0.10,""USD000UTSTOM"":0.10,""EUR_RUB__TOM"":0.10,""SU26238RMFS4"":0.10,""SBER"":0.05,""MOEX"":0.05,""IRAO"":0.05}}]}",0.02790841495149661,0.047627083020715076,True,99,deepseek/deepseek-v4-pro,2024-03-27 00:00:00,2026-03-19 00:00:00,2026-03-20 00:00:00,2026-04-17 00:00:00
8,1,llm,3,3,3,3,3,parse_response,,,True,"{""candidates"":[{""weights"":{""SBER"":0.35,""LKOH"":0.25,""NVTK"":0.25,""MOEX"":0.1,""MGNT"":0.05}},{""weights"":{""SBER"":0.25,""LKOH"":0.2,""NVTK"":0.15,""MOEX"":0.15,""FLOT"":0.1,""FXIT"":0.1,""LQDT"":0.05}},{""weights"":{""FLOT"":0.2,""FXIT"":0.15,""LQDT"":0.15,""SBGB"":0.15,""USD000UTSTOM"":0.1,""SU26238RMFS4"":0.1,""SBER"":0.05,""MOEX"":0.05,""IRAO"":0.05}}]}",0.047627083020715076,0.047627083020715076,False,99,deepseek/deepseek-v4-pro,2024-03-27 00:00:00,2026-03-19 00:00:00,2026-03-20 00:00:00,2026-04-17 00:00:00
9,1,llm,3,3,3,2,2,parse_response,,,True,"{""candidates"":[{""weights"":{""SBER"":0.30,""LKOH"":0.25,""NVTK"":0.20,""MOEX"":0.10,""ROSN"":0.10,""MGNT"":0.05}},{""weights"":{""SBER"":0.20,""LKOH"":0.20,""NVTK"":0.15,""MOEX"":0.10,""FLOT"":0.15,""FXIT"":0.10,""LQDT"":0.10}},{""weights"":{""FLOT"":0.20,""FXIT"":0.15,""LQDT"":0.15,""SBGB"":0.15,""SU26238RMFS4"":0.10,""USD000UTSTOM"":0.10,""SBER"":0.05,""MOEX"":0.05,""IRAO"":0.05}}]}",0.047627083020715076,0.047627083020715076,False,99,deepseek/deepseek-v4-pro,2024-03-27 00:00:00,2026-03-19 00:00:00,2026-03-20 00:00:00,2026-04-17 00:00:00
10,1,llm,3,3,3,2,2,parse_response,,,True,"{""candidates"":[{""weights"":{""SBER"":0.30,""LKOH"":0.25,""NVTK"":0.20,""ROSN"":0.15,""MOEX"":0.10}},{""weights"":{""SBER"":0.25,""LKOH"":0.20,""NVTK"":0.20,""MOEX"":0.15,""MGNT"":0.10,""PHOR"":0.10}},{""weights"":{""SBER"":0.10,""LKOH"":0.10,""NVTK"":0.10,""MOEX"":0.10,""FLOT"":0.15,""FXIT"":0.10,""LQDT"":0.15,""SBGB"":0.10,""USD000UTSTOM"":0.10}}]}",0.047627083020715076,0.05481184604152724,True,99,deepseek/deepseek-v4-pro,2024-03-27 00:00:00,2026-03-19 00:00:00,2026-03-20 00:00:00,2026-04-17 00:00:00
11,1,llm,3,3,3,3,3,parse_response,,,True,"{""candidates"":[{""weights"":{""SBER"":0.35,""LKOH"":0.3,""NVTK"":0.2,""MOEX"":0.05,""MGNT"":0.1}},{""weights"":{""SBER"":0.25,""LKOH"":0.2,""NVTK"":0.15,""MOEX"":0.1,""FLOT"":0.1,""FXIT"":0.1,""LQDT"":0.1}},{""weights"":{""SBER"":0.15,""LKOH"":0.15,""NVTK"":0.1,""MOEX"":0.1,""FLOT"":0.15,""FXIT"":0.1,""LQDT"":0.15,""SBGB"":0.1}}]}",0.05481184604152724,0.05481184604152724,False,99,deepseek/deepseek-v4-pro,2024-03-27 00:00:00,2026-03-19 00:00:00,2026-03-20 00:00:00,2026-04-17 00:00:00
12,1,llm,3,3,3,3,3,parse_response,,,True,"{""candidates"":[{""weights"":{""SBER"":0.35,""LKOH"":0.25,""NVTK"":0.20,""MOEX"":0.10,""ROSN"":0.10}},{""weights"":{""SBER"":0.25,""LKOH"":0.20,""NVTK"":0.15,""MOEX"":0.10,""FLOT"":0.10,""FXIT"":0.10,""LQDT"":0.05,""ROSN"":0.05}},{""weights"":{""SBER"":0.12,""LKOH"":0.10,""NVTK"":0.10,""MOEX"":0.08,""FLOT"":0.15,""FXIT"":0.10,""LQDT"":0.15,""SBGB"":0.10,""USD000UTSTOM"":0.10}}]}",0.05481184604152724,0.060101077908271766,True,99,deepseek/deepseek-v4-pro,2024-03-27 00:00:00,2026-03-19 00:00:00,2026-03-20 00:00:00,2026-04-17 00:00:00
13,1,llm,3,3,3,3,3,parse_response,,,True,"{""candidates"":[{""weights"":{""SBER"":0.30,""LKOH"":0.25,""NVTK"":0.20,""MOEX"":0.10,""MGNT"":0.05,""PHOR"":0.05,""GAZP"":0.05}},{""weights"":{""SBER"":0.20,""LKOH"":0.15,""NVTK"":0.15,""MOEX"":0.10,""FLOT"":0.10,""FXIT"":0.10,""LQDT"":0.10,""ROSN"":0.05,""SBGB"":0.05}},{""weights"":{""SBER"":0.12,""LKOH"":0.08,""NVTK"":0.10,""MOEX"":0.05,""FLOT"":0.15,""FXIT"":0.12,""LQDT"":0.15,""SBGB"":0.10,""USD000UTSTOM"":0.08,""MGNT"":0.05}}]}",0.060101077908271766,0.060101077908271766,False,99,deepseek/deepseek-v4-pro,2024-03-27 00:00:00,2026-03-19 00:00:00,2026-03-20 00:00:00,2026-04-17 00:00:00
