model,step,iteration,best_score,parsed_candidates,accepted_candidates,mean_score,max_score,portfolios_count,epoch
deepseek/deepseek-v4-pro,99,-1,,,,-0.3131809363532813,-0.0084953113145306,10,-1
deepseek/deepseek-v4-pro,99,0,0.0251004131923856,3.0,3.0,-0.01602597764120337,0.0251004131923856,3,0
deepseek/deepseek-v4-pro,99,1,0.0251004131923856,3.0,3.0,-0.03348282268594793,0.0056503124597859,3,1
deepseek/deepseek-v4-pro,99,2,0.0251004131923856,3.0,3.0,0.016142580533917632,0.0189992473886217,3,2
deepseek/deepseek-v4-pro,99,3,0.0251004131923856,3.0,3.0,0.0190772164399123,0.0220094257227611,3,3
deepseek/deepseek-v4-pro,99,4,0.0279084149514966,3.0,3.0,0.023150031428106635,0.0279084149514966,3,4
deepseek/deepseek-v4-pro,99,5,0.0279084149514966,3.0,3.0,0.009053337581148567,0.0199655826633021,3,5
deepseek/deepseek-v4-pro,99,6,0.0279084149514966,3.0,3.0,0.016005359626736368,0.0239178138539315,3,6
deepseek/deepseek-v4-pro,99,7,0.047627083020715,3.0,3.0,0.02612307000648863,0.047627083020715,3,7
deepseek/deepseek-v4-pro,99,8,0.047627083020715,3.0,3.0,0.0332647104636827,0.0428068928913286,3,8
deepseek/deepseek-v4-pro,99,9,0.047627083020715,3.0,2.0,0.034528559566517056,0.0359660199487719,2,9
deepseek/deepseek-v4-pro,99,10,0.0548118460415272,3.0,2.0,0.0447115011000281,0.0548118460415272,2,10
deepseek/deepseek-v4-pro,99,11,0.0548118460415272,3.0,3.0,0.03753740555472607,0.0462467298388555,3,11
deepseek/deepseek-v4-pro,99,12,0.0601010779082717,3.0,3.0,0.04572762238752437,0.0601010779082717,3,12
deepseek/deepseek-v4-pro,99,13,0.0601010779082717,3.0,3.0,0.03563665595103053,0.0486695103576679,3,13
deepseek/deepseek-v4-pro,99,14,0.0601010779082717,3.0,2.0,0.04759182436588715,0.0542261507596632,2,14
deepseek/deepseek-v4-pro,99,15,0.0638644574919203,3.0,3.0,0.0477010767453877,0.0638644574919203,3,15
