iteration,attempt,source,requested_candidates,raw_candidates,parsed_candidates,accepted_candidates,accepted_total_iteration,llm_error_stage,llm_error_type,llm_error_message,llm_json_found,llm_raw_preview,best_score_before,best_score_after,improved,step,model,train_start,train_end,test_start,test_end
0,1,llm,3,3,3,3,3,parse_response,,,True,"{
  ""candidates"": [
    {
      ""weights"": {
        ""IRAO"": 0.35,
        ""SBER"": 0.25,
        ""MOEX"": 0.20,
        ""MGNT"": 0.10,
        ""UPRO"": 0.10
      }
    },
    {
      ""weights"": {
        ""SBER"": 0.20,
        ""FLOT"": 0.20,
        ""EUR_RUB__TOM"": 0.15,
        ""FXIT"": 0.15,
        ""HEAD"": 0.15,
        ""MOEX"": 0.15
      }
    },
    {
      ""weights"": {
        ""LQDT"": 0.20,
        ""EUR_RUB__TOM"": 0.20,
        ""AKMB"": 0.15,
        ""TBRU"": 0.15,
        ""IRAO"": 0.15,
        ""SBER"": 0.15
      }
    }
  ]
}",-0.00849531131453062,0.09569745433999521,True,99,google/gemini-3.1-pro-preview,2024-03-27 00:00:00,2026-03-19 00:00:00,2026-03-20 00:00:00,2026-04-17 00:00:00
1,1,llm,3,3,3,3,3,parse_response,,,True,"{""candidates"":[{""weights"":{""LQDT"":0.25,""EUR_RUB__TOM"":0.2,""AKMB"":0.15,""TBRU"":0.15,""SBER"":0.15,""IRAO"":0.1}},{""weights"":{""SBER"":0.25,""MOEX"":0.2,""IRAO"":0.2,""FLOT"":0.15,""EUR_RUB__TOM"":0.1,""LQDT"":0.1}},{""weights"":{""SBER"":0.15,""IRAO"":0.15,""MOEX"":0.15,""LQDT"":0.15,""AKMB"":0.1,""TBRU"":0.1,""FXIT"":0.1,""HEAD"":0.1}}]}",0.09569745433999521,0.10573510376234434,True,99,google/gemini-3.1-pro-preview,2024-03-27 00:00:00,2026-03-19 00:00:00,2026-03-20 00:00:00,2026-04-17 00:00:00
2,1,llm,3,3,3,3,3,parse_response,,,True,"{""candidates"":[{""weights"":{""LQDT"":0.2,""EUR_RUB__TOM"":0.2,""AKMB"":0.15,""TBRU"":0.15,""SBER"":0.15,""IRAO"":0.1,""MOEX"":0.05}},{""weights"":{""SBER"":0.2,""IRAO"":0.2,""MOEX"":0.15,""LQDT"":0.15,""EUR_RUB__TOM"":0.1,""FLOT"":0.1,""AKMB"":0.1}},{""weights"":{""LQDT"":0.25,""AKMB"":0.2,""TBRU"":0.2,""EUR_RUB__TOM"":0.15,""FXIT"":0.1,""SBER"":0.1}}]}",0.10573510376234434,0.1188479765224641,True,99,google/gemini-3.1-pro-preview,2024-03-27 00:00:00,2026-03-19 00:00:00,2026-03-20 00:00:00,2026-04-17 00:00:00
3,1,llm,3,3,3,3,3,parse_response,,,True,"{
  ""candidates"": [
    {
      ""weights"": {
        ""LQDT"": 0.25,
        ""AKMB"": 0.20,
        ""TBRU"": 0.20,
        ""EUR_RUB__TOM"": 0.20,
        ""FXIT"": 0.15
      }
    },
    {
      ""weights"": {
        ""LQDT"": 0.15,
        ""AKMB"": 0.15,
        ""TBRU"": 0.15,
        ""EUR_RUB__TOM"": 0.15,
        ""SBGB"": 0.10,
        ""SBCB"": 0.10,
        ""FXIT"": 0.10,
        ""USD000UTSTOM"": 0.10
      }
    },
    {
      ""weights"": {
        ""LQDT"": 0.15,
        ""AKMB"": 0.15,
        ""TBRU"": 0.15,
        ""EUR_RUB__TOM"": 0.15,
        ""FXIT"": 0.10,
        ""SBER"": 0.10,
        ""IRAO"": 0.05,
        ""MOEX"": 0.05,
        ""HEAD"": 0.05,
        ""FLOT"": 0.05
      }
    }
  ]
}",0.1188479765224641,0.1188479765224641,False,99,google/gemini-3.1-pro-preview,2024-03-27 00:00:00,2026-03-19 00:00:00,2026-03-20 00:00:00,2026-04-17 00:00:00
4,1,llm,3,3,3,3,3,parse_response,,,True,"{""candidates"":[{""weights"":{""LQDT"":0.25,""AKMB"":0.2,""TBRU"":0.15,""EUR_RUB__TOM"":0.15,""FXIT"":0.1,""SBER"":0.15}},{""weights"":{""LQDT"":0.3,""AKMB"":0.2,""TBRU"":0.2,""EUR_RUB__TOM"":0.1,""FXIT"":0.1,""SBER"":0.1}},{""weights"":{""LQDT"":0.2,""AKMB"":0.2,""TBRU"":0.2,""EUR_RUB__TOM"":0.15,""FXIT"":0.1,""SBER"":0.15}}]}",0.1188479765224641,0.12846232462294724,True,99,google/gemini-3.1-pro-preview,2024-03-27 00:00:00,2026-03-19 00:00:00,2026-03-20 00:00:00,2026-04-17 00:00:00
5,1,llm,3,3,3,3,3,parse_response,,,True,"{""candidates"":[{""weights"":{""LQDT"":0.20,""AKMB"":0.20,""TBRU"":0.15,""SBER"":0.15,""FXIT"":0.15,""EUR_RUB__TOM"":0.15}},{""weights"":{""LQDT"":0.30,""AKMB"":0.25,""TBRU"":0.15,""FXIT"":0.10,""SBER"":0.10,""EUR_RUB__TOM"":0.10}},{""weights"":{""LQDT"":0.15,""AKMB"":0.15,""TBRU"":0.15,""EUR_RUB__TOM"":0.15,""FXIT"":0.10,""SBER"":0.10,""USD000UTSTOM"":0.10,""SBCB"":0.10}}]}",0.12846232462294724,0.128617685310105,True,99,google/gemini-3.1-pro-preview,2024-03-27 00:00:00,2026-03-19 00:00:00,2026-03-20 00:00:00,2026-04-17 00:00:00
6,1,llm,3,3,3,3,3,parse_response,,,True,"{""candidates"":[{""weights"":{""LQDT"":0.35,""AKMB"":0.3,""TBRU"":0.15,""FXIT"":0.1,""SBER"":0.1}},{""weights"":{""LQDT"":0.3,""AKMB"":0.25,""TBRU"":0.2,""FXIT"":0.15,""SBER"":0.1}},{""weights"":{""LQDT"":0.3,""AKMB"":0.25,""TBRU"":0.15,""FXIT"":0.1,""SBER"":0.1,""EUR_RUB__TOM"":0.05,""IRAO"":0.05}}]}",0.128617685310105,0.14711366216217373,True,99,google/gemini-3.1-pro-preview,2024-03-27 00:00:00,2026-03-19 00:00:00,2026-03-20 00:00:00,2026-04-17 00:00:00
7,1,llm,3,3,3,2,2,parse_response,,,True,"{
  ""candidates"": [
    {
      ""weights"": {
        ""LQDT"": 0.40,
        ""AKMB"": 0.30,
        ""TBRU"": 0.15,
        ""FXIT"": 0.10,
        ""SBER"": 0.05
      }
    },
    {
      ""weights"": {
        ""LQDT"": 0.35,
        ""AKMB"": 0.25,
        ""TBRU"": 0.20,
        ""FXIT"": 0.10,
        ""SBER"": 0.10
      }
    },
    {
      ""weights"": {
        ""LQDT"": 0.30,
        ""AKMB"": 0.25,
        ""TBRU"": 0.15,
        ""FXIT"": 0.10,
        ""SBER"": 0.10,
        ""EUR_RUB__TOM"": 0.05,
        ""IRAO"": 0.05
      }
    }
  ]
}",0.14711366216217373,0.14789515432828063,True,99,google/gemini-3.1-pro-preview,2024-03-27 00:00:00,2026-03-19 00:00:00,2026-03-20 00:00:00,2026-04-17 00:00:00
8,1,llm,3,3,3,3,3,parse_response,,,True,"{
  ""candidates"": [
    {
      ""weights"": {
        ""LQDT"": 0.4,
        ""AKMB"": 0.4,
        ""TBRU"": 0.2
      }
    },
    {
      ""weights"": {
        ""LQDT"": 0.4,
        ""AKMB"": 0.35,
        ""TBRU"": 0.15,
        ""SBER"": 0.1
      }
    },
    {
      ""weights"": {
        ""LQDT"": 0.4,
        ""AKMB"": 0.3,
        ""TBRU"": 0.2,
        ""SBER"": 0.05,
        ""FXIT"": 0.05
      }
    }
  ]
}",0.14789515432828063,0.16416059472675237,True,99,google/gemini-3.1-pro-preview,2024-03-27 00:00:00,2026-03-19 00:00:00,2026-03-20 00:00:00,2026-04-17 00:00:00
9,1,llm,3,3,3,3,3,parse_response,,,True,"{""candidates"":[{""weights"":{""LQDT"":0.48,""AKMB"":0.34,""TBRU"":0.18}},{""weights"":{""LQDT"":0.42,""AKMB"":0.38,""TBRU"":0.20}},{""weights"":{""LQDT"":0.38,""AKMB"":0.34,""TBRU"":0.20,""SBER"":0.08}}]}",0.16416059472675237,0.16442708995985178,True,99,google/gemini-3.1-pro-preview,2024-03-27 00:00:00,2026-03-19 00:00:00,2026-03-20 00:00:00,2026-04-17 00:00:00
