model,step,iteration,best_score,parsed_candidates,accepted_candidates,mean_score,max_score,portfolios_count,epoch
google/gemini-3.1-pro-preview,99,-1,,,,-0.3131809363532813,-0.0084953113145306,10.0,-1
google/gemini-3.1-pro-preview,99,0,0.0956974543399952,3.0,3.0,0.020872191071181,0.0956974543399952,3.0,0
google/gemini-3.1-pro-preview,99,1,0.1057351037623443,3.0,3.0,0.06739530121252553,0.1057351037623443,3.0,1
google/gemini-3.1-pro-preview,99,2,0.1188479765224641,3.0,3.0,0.08806018716362217,0.1188479765224641,3.0,2
google/gemini-3.1-pro-preview,99,3,0.1188479765224641,3.0,3.0,0.08800512098041553,0.102477879271087,3.0,3
google/gemini-3.1-pro-preview,99,4,0.1284623246229472,3.0,3.0,0.1214277911239056,0.1284623246229472,3.0,4
google/gemini-3.1-pro-preview,99,5,0.128617685310105,3.0,3.0,0.107946499131446,0.128617685310105,3.0,5
google/gemini-3.1-pro-preview,99,6,0.1471136621621737,3.0,3.0,0.13804920471410695,0.1471136621621737,3.0,6
google/gemini-3.1-pro-preview,99,7,0.1478951543282806,3.0,2.0,0.14747672790164823,0.1478951543282806,2.0,7
google/gemini-3.1-pro-preview,99,8,0.1641605947267523,3.0,3.0,0.16110160409385893,0.1641605947267523,3.0,8
google/gemini-3.1-pro-preview,99,9,0.1644270899598517,3.0,3.0,0.16404208096860717,0.1644270899598517,3.0,9
google/gemini-3.1-pro-preview,99,10,0.1644270899598517,3.0,3.0,0.1614959958333054,0.1644260334245477,3.0,10
google/gemini-3.1-pro-preview,99,11,0.1644270899598517,3.0,3.0,0.1609561945089394,0.1643523063721464,3.0,11
google/gemini-3.1-pro-preview,99,12,0.1644270899598517,3.0,3.0,0.16322408799835478,0.1643900022202926,3.0,12
google/gemini-3.1-pro-preview,99,13,0.1644270899598517,3.0,3.0,0.1529325150704329,0.1644254739526406,3.0,13
google/gemini-3.1-pro-preview,99,14,0.1644336338296312,3.0,3.0,0.15812690672974913,0.1644336338296312,3.0,14
google/gemini-3.1-pro-preview,99,15,0.1644336338296312,3.0,3.0,0.14559388987461755,0.152496554429261,3.0,15
google/gemini-3.1-pro-preview,99,16,0.188443439099776,3.0,3.0,0.1689205710571566,0.188443439099776,3.0,16
google/gemini-3.1-pro-preview,99,17,0.188443439099776,3.0,3.0,0.1680664707330489,0.1807710847427504,3.0,17
google/gemini-3.1-pro-preview,99,18,0.188443439099776,3.0,3.0,0.17031760240436222,0.1782123671936989,3.0,18
google/gemini-3.1-pro-preview,99,19,0.2235310930806251,3.0,3.0,0.20268961293043952,0.2235310930806251,3.0,19
google/gemini-3.1-pro-preview,99,20,0.2458692981408065,3.0,3.0,0.22591956439985317,0.2458692981408065,3.0,20
google/gemini-3.1-pro-preview,99,21,0.2458692981408065,3.0,3.0,0.21773569288981265,0.2251860000368949,3.0,21
