iteration,attempt,source,requested_candidates,raw_candidates,parsed_candidates,accepted_candidates,accepted_total_iteration,llm_error_stage,llm_error_type,llm_error_message,llm_json_found,llm_raw_preview,best_score_before,best_score_after,improved,step,model,train_start,train_end,test_start,test_end
0,1,llm,3,0,0,0,0,invoke_model,RateLimitError,"Error code: 429 - {'error': 'API key monthly spending limit exceeded: 501,12 руб. / 500,00 руб.'}",False,,-0.00849531131453062,-0.00849531131453062,False,99,mistralai/mistral-small-2603,2024-03-27 00:00:00,2026-03-19 00:00:00,2026-03-20 00:00:00,2026-04-17 00:00:00
1,1,llm,3,0,0,0,0,invoke_model,RateLimitError,"Error code: 429 - {'error': 'API key monthly spending limit exceeded: 501,12 руб. / 500,00 руб.'}",False,,-0.00849531131453062,-0.00849531131453062,False,99,mistralai/mistral-small-2603,2024-03-27 00:00:00,2026-03-19 00:00:00,2026-03-20 00:00:00,2026-04-17 00:00:00
2,1,llm,3,0,0,0,0,invoke_model,RateLimitError,"Error code: 429 - {'error': 'API key monthly spending limit exceeded: 501,12 руб. / 500,00 руб.'}",False,,-0.00849531131453062,-0.00849531131453062,False,99,mistralai/mistral-small-2603,2024-03-27 00:00:00,2026-03-19 00:00:00,2026-03-20 00:00:00,2026-04-17 00:00:00
3,1,llm,3,0,0,0,0,invoke_model,RateLimitError,"Error code: 429 - {'error': 'API key monthly spending limit exceeded: 501,12 руб. / 500,00 руб.'}",False,,-0.00849531131453062,-0.00849531131453062,False,99,mistralai/mistral-small-2603,2024-03-27 00:00:00,2026-03-19 00:00:00,2026-03-20 00:00:00,2026-04-17 00:00:00
4,1,llm,3,0,0,0,0,invoke_model,RateLimitError,"Error code: 429 - {'error': 'API key monthly spending limit exceeded: 501,12 руб. / 500,00 руб.'}",False,,-0.00849531131453062,-0.00849531131453062,False,99,mistralai/mistral-small-2603,2024-03-27 00:00:00,2026-03-19 00:00:00,2026-03-20 00:00:00,2026-04-17 00:00:00
5,1,llm,3,0,0,0,0,invoke_model,RateLimitError,"Error code: 429 - {'error': 'API key monthly spending limit exceeded: 501,12 руб. / 500,00 руб.'}",False,,-0.00849531131453062,-0.00849531131453062,False,99,mistralai/mistral-small-2603,2024-03-27 00:00:00,2026-03-19 00:00:00,2026-03-20 00:00:00,2026-04-17 00:00:00
6,1,llm,3,0,0,0,0,invoke_model,RateLimitError,"Error code: 429 - {'error': 'API key monthly spending limit exceeded: 501,12 руб. / 500,00 руб.'}",False,,-0.00849531131453062,-0.00849531131453062,False,99,mistralai/mistral-small-2603,2024-03-27 00:00:00,2026-03-19 00:00:00,2026-03-20 00:00:00,2026-04-17 00:00:00
7,1,llm,3,0,0,0,0,invoke_model,RateLimitError,"Error code: 429 - {'error': 'API key monthly spending limit exceeded: 501,12 руб. / 500,00 руб.'}",False,,-0.00849531131453062,-0.00849531131453062,False,99,mistralai/mistral-small-2603,2024-03-27 00:00:00,2026-03-19 00:00:00,2026-03-20 00:00:00,2026-04-17 00:00:00
8,1,llm,3,0,0,0,0,invoke_model,RateLimitError,"Error code: 429 - {'error': 'API key monthly spending limit exceeded: 501,12 руб. / 500,00 руб.'}",False,,-0.00849531131453062,-0.00849531131453062,False,99,mistralai/mistral-small-2603,2024-03-27 00:00:00,2026-03-19 00:00:00,2026-03-20 00:00:00,2026-04-17 00:00:00
9,1,llm,3,0,0,0,0,invoke_model,RateLimitError,"Error code: 429 - {'error': 'API key monthly spending limit exceeded: 501,12 руб. / 500,00 руб.'}",False,,-0.00849531131453062,-0.00849531131453062,False,99,mistralai/mistral-small-2603,2024-03-27 00:00:00,2026-03-19 00:00:00,2026-03-20 00:00:00,2026-04-17 00:00:00
