model,step,iteration,best_score,parsed_candidates,accepted_candidates,mean_score,max_score,portfolios_count,epoch
qwen/qwen3.5-35b-a3b,99,-1,,,,-0.3131809363532813,-0.0084953113145306,10.0,-1
qwen/qwen3.5-35b-a3b,99,0,-0.0084953113145306,0.0,0.0,,,,0
qwen/qwen3.5-35b-a3b,99,1,-0.0084953113145306,0.0,0.0,,,,1
qwen/qwen3.5-35b-a3b,99,2,-0.0084953113145306,0.0,0.0,,,,2
qwen/qwen3.5-35b-a3b,99,3,-0.0084953113145306,0.0,0.0,,,,3
qwen/qwen3.5-35b-a3b,99,4,-0.0084953113145306,0.0,0.0,,,,4
qwen/qwen3.5-35b-a3b,99,5,-0.0084953113145306,0.0,0.0,,,,5
qwen/qwen3.5-35b-a3b,99,6,-0.0084953113145306,0.0,0.0,,,,6
qwen/qwen3.5-35b-a3b,99,7,-0.0084953113145306,0.0,0.0,,,,7
qwen/qwen3.5-35b-a3b,99,8,-0.0084953113145306,0.0,0.0,,,,8
qwen/qwen3.5-35b-a3b,99,9,-0.0084953113145306,0.0,0.0,,,,9
qwen/qwen3.5-35b-a3b,99,10,-0.0084953113145306,0.0,0.0,,,,10
qwen/qwen3.5-35b-a3b,99,11,-0.0084953113145306,0.0,0.0,,,,11
qwen/qwen3.5-35b-a3b,99,12,-0.0084953113145306,0.0,0.0,,,,12
qwen/qwen3.5-35b-a3b,99,13,-0.0084953113145306,0.0,0.0,,,,13
qwen/qwen3.5-35b-a3b,99,14,-0.0084953113145306,0.0,0.0,,,,14
qwen/qwen3.5-35b-a3b,99,15,-0.0084953113145306,0.0,0.0,,,,15
qwen/qwen3.5-35b-a3b,99,16,-0.0084953113145306,0.0,0.0,,,,16
qwen/qwen3.5-35b-a3b,99,17,-0.0084953113145306,0.0,0.0,,,,17
qwen/qwen3.5-35b-a3b,99,18,-0.0084953113145306,0.0,0.0,,,,18
qwen/qwen3.5-35b-a3b,99,19,-0.0084953113145306,0.0,0.0,,,,19
qwen/qwen3.5-35b-a3b,99,20,-0.0084953113145306,0.0,0.0,,,,20
qwen/qwen3.5-35b-a3b,99,21,-0.0084953113145306,0.0,0.0,,,,21
qwen/qwen3.5-35b-a3b,99,22,-0.0084953113145306,0.0,0.0,,,,22
qwen/qwen3.5-35b-a3b,99,23,-0.0084953113145306,0.0,0.0,,,,23
qwen/qwen3.5-35b-a3b,99,24,-0.0084953113145306,0.0,0.0,,,,24
qwen/qwen3.5-35b-a3b,99,25,-0.0084953113145306,0.0,0.0,,,,25
qwen/qwen3.5-35b-a3b,99,26,-0.0084953113145306,0.0,0.0,,,,26
qwen/qwen3.5-35b-a3b,99,27,-0.0084953113145306,0.0,0.0,,,,27
qwen/qwen3.5-35b-a3b,99,28,-0.0084953113145306,0.0,0.0,,,,28
qwen/qwen3.5-35b-a3b,99,29,-0.0084953113145306,0.0,0.0,,,,29
qwen/qwen3.5-35b-a3b,99,30,-0.0084953113145306,0.0,0.0,,,,30
qwen/qwen3.5-35b-a3b,99,31,-0.0084953113145306,0.0,0.0,,,,31
qwen/qwen3.5-35b-a3b,99,32,-0.0084953113145306,0.0,0.0,,,,32
qwen/qwen3.5-35b-a3b,99,33,-0.0084953113145306,0.0,0.0,,,,33
qwen/qwen3.5-35b-a3b,99,34,-0.0084953113145306,0.0,0.0,,,,34
qwen/qwen3.5-35b-a3b,99,35,-0.0084953113145306,0.0,0.0,,,,35
qwen/qwen3.5-35b-a3b,99,36,-0.0084953113145306,0.0,0.0,,,,36
qwen/qwen3.5-35b-a3b,99,37,-0.0084953113145306,0.0,0.0,,,,37
qwen/qwen3.5-35b-a3b,99,38,-0.0084953113145306,0.0,0.0,,,,38
qwen/qwen3.5-35b-a3b,99,39,-0.0084953113145306,0.0,0.0,,,,39
qwen/qwen3.5-35b-a3b,99,40,-0.0084953113145306,0.0,0.0,,,,40
qwen/qwen3.5-35b-a3b,99,41,-0.0084953113145306,0.0,0.0,,,,41
qwen/qwen3.5-35b-a3b,99,42,-0.0084953113145306,0.0,0.0,,,,42
qwen/qwen3.5-35b-a3b,99,43,-0.0084953113145306,0.0,0.0,,,,43
qwen/qwen3.5-35b-a3b,99,44,-0.0084953113145306,0.0,0.0,,,,44
qwen/qwen3.5-35b-a3b,99,45,-0.0084953113145306,0.0,0.0,,,,45
qwen/qwen3.5-35b-a3b,99,46,-0.0084953113145306,0.0,0.0,,,,46
qwen/qwen3.5-35b-a3b,99,47,-0.0084953113145306,0.0,0.0,,,,47
qwen/qwen3.5-35b-a3b,99,48,-0.0084953113145306,0.0,0.0,,,,48
qwen/qwen3.5-35b-a3b,99,49,-0.0084953113145306,0.0,0.0,,,,49
